Rank,Feature,Importance
0,101,0.044047785246781226
1,46,0.040370225066800866
2,140,0.03769292724459054
3,69,0.032611189175225055
4,121,0.030995387014950894
5,114,0.0261971122271639
6,5,0.024651846274513903
7,24,0.024607736584248523
8,17,0.024525531104664117
9,107,0.024374152748624194
10,62,0.02429900117929364
11,82,0.02429192422792565
12,18,0.024280391780629178
13,113,0.023654260054674785
14,32,0.02257260090958065
15,128,0.021831794808837856
16,11,0.021168471558222435
17,65,0.020777553547911172
18,111,0.020188051420263108
19,122,0.019941431377597553
20,100,0.01968339495454029
21,150,0.01925686396880992
22,147,0.019070980511121046
23,21,0.017901471118672737
24,63,0.017584626544559903
25,172,0.017179062020468767
26,136,0.015690055813207263
27,73,0.015493775545365568
28,97,0.015392699900815257
29,71,0.015336294211363968
30,131,0.014303480285904913
31,54,0.010503229572932435
32,20,0.00908396681121337
33,61,0.008133236952460689
34,194,0.007513407517784438
35,120,0.006987336969749122
36,212,0.006941650559259936
37,6,0.006423351722917028
38,213,0.006203003046438705
39,206,0.005977765845413725
40,207,0.005544040408289806
41,29,0.005514956612244795
42,222,0.005284735195272724
43,42,0.00496508284963898
44,67,0.004949098290269841
45,193,0.0048264096184581036
46,226,0.004554205076191706
47,196,0.004553966854844752
48,171,0.004097507216470399
49,36,0.0038381324419359255
50,195,0.0036942426835591693
51,219,0.00354497385335283
52,230,0.0035070376035966342
53,13,0.0034603957767366453
54,240,0.003420450985528835
55,225,0.003411150788336051
56,221,0.0034050377693404616
57,179,0.0033351352092383713
58,165,0.0033300992937840336
59,199,0.0033094521916823285
60,241,0.002965513157749156
61,156,0.0029653189465745924
62,123,0.0029535841174248077
63,187,0.0029472457518468697
64,235,0.0028128909934711584
65,189,0.0028029064030662193
66,188,0.002603110758351147
67,242,0.0024538036779206155
68,234,0.0024042568424681287
69,31,0.002221885501662776
70,236,0.0020672168619875722
71,223,0.0020344014519490645
72,130,0.0019544905985617255
73,215,0.001954079104084047
74,183,0.001924152069024332
75,90,0.001917129730894061
76,229,0.0019163638282902438
77,166,0.0017694326920135132
78,232,0.0017485409826275972
79,231,0.0016899026419839342
80,124,0.0016860872799494837
81,186,0.001643081673888275
82,185,0.0015696700808303023
83,197,0.0015525917182770067
84,159,0.0014616269879949417
85,112,0.0014250237452387042
86,7,0.0014047419842767599
87,132,0.0013780565766193906
88,177,0.0013557583832233973
89,117,0.0013276906225378525
90,53,0.001271587792047457
91,52,0.0012355314998427403
92,218,0.0012123287924243067
93,224,0.0011904820710406203
94,35,0.001186424043684216
95,87,0.001177207947071292
96,163,0.0011592667452731396
97,116,0.001155548467737183
98,214,0.0011494073372579016
99,115,0.001116548376547586
100,154,0.0010638874943808818
101,243,0.0010570308495604322
102,44,0.0010302345864670037
103,168,0.0009514313360048498
104,28,0.0009340139780670519
105,155,0.0009294168390259463
106,141,0.0009288377810625454
107,205,0.0009197717664564382
108,237,0.0008707802082291863
109,66,0.0008501966716832938
110,105,0.00084196955479581
111,137,0.0008349516633968373
112,220,0.0008349464342662802
113,92,0.0008312239613461784
114,148,0.0008240209122723996
115,75,0.000814527127696881
116,64,0.0008105550767361254
117,233,0.0008080456803531619
118,56,0.0007975370528371974
119,8,0.0007801866568358602
120,164,0.0007681763643580166
121,70,0.000762268962436101
122,30,0.0007593264134025319
123,89,0.000743998760616849
124,204,0.0007439256549673745
125,108,0.0007396121771622119
126,60,0.0007389371867027323
127,34,0.000734685835423302
128,50,0.0007112596894091776
129,79,0.0006999738890611296
130,139,0.0006955865919050589
131,217,0.0006931562470965317
132,149,0.0006914566469100146
133,135,0.0006779352245733679
134,0,0.0006674509350157711
135,37,0.0006650210025430905
136,143,0.0006642218870412214
137,178,0.0006375178603788126
138,26,0.0006346429113491226
139,127,0.0006188422915795674
140,86,0.0006071119512873863
141,83,0.000600463926445417
142,173,0.000590254326905173
143,162,0.0005883472533248633
144,99,0.0005865023019781899
145,74,0.000568601429148117
146,38,0.0005668805051621404
147,80,0.0005433990350192551
148,76,0.0005293819044168126
149,14,0.0005205336995948847
150,144,0.0005202336238277024
151,145,0.0005172826347650473
152,102,0.0005029180224033142
153,48,0.0005001330122476465
154,96,0.0004972432753676938
155,2,0.0004903443884625181
156,216,0.00048409230486433206
157,158,0.00046969473933462574
158,146,0.0004695239714259208
159,201,0.0004545822940994379
160,68,0.00044205715330558024
161,170,0.00043540275291030104
162,191,0.00043146093585946587
163,93,0.00042585406651351446
164,138,0.00041673208710889584
165,85,0.0004128588222136331
166,103,0.0004069076766078809
167,157,0.00038508788522988353
168,55,0.0003802144174822964
169,19,0.0003790911200655094
170,45,0.00037461317536670427
171,133,0.00037331715188558605
172,94,0.0003587477143198363
173,134,0.0003496397269981499
174,129,0.00034957939925390504
175,161,0.0003456673463263716
176,151,0.0003449701899422638
177,27,0.000333743338492698
178,153,0.0003230892569867233
179,33,0.00032025296365824764
180,160,0.0003052742486679423
181,57,0.00030238664573392307
182,41,0.0002917310150707401
183,4,0.0002790152501631248
184,180,0.0002738895648366387
185,109,0.00026898094664490715
186,58,0.00026700102598667077
187,198,0.0002569403833272207
188,47,0.0002561532693050595
189,91,0.00025377665839093524
190,227,0.0002535294426929246
191,167,0.00023676659674912374
192,88,0.00023160515011394345
193,202,0.00022972953852049352
194,10,0.00022671464250311802
195,175,0.00021706969356664004
196,119,0.0001825727403454974
197,43,0.00016929526654103924
198,49,0.0001476207012893608
199,15,0.0001447900239433634
200,51,0.00014431623591752048
201,59,0.0001404858337843045
202,77,0.00013716571476010437
203,238,0.00013445969325449853
204,169,0.0001311786288540722
205,228,0.00013105982341475746
206,106,0.00011745723520816403
207,152,0.00011027419279027481
208,12,0.00010996373666871253
209,3,0.00010254931375315163
210,118,9.35248404080433e-05
211,1,8.114416447027348e-05
212,142,8.04788660589167e-05
213,174,7.708360953352883e-05
214,9,7.632198020178685e-05
215,126,7.481987232643472e-05
216,95,7.338430143173427e-05
217,39,5.268995633460608e-05
218,72,5.199167021656071e-05
219,84,4.86439622875788e-05
220,210,4.175216089644781e-05
221,22,3.578905270523313e-05
222,98,2.861019327132844e-05
223,208,2.6549347032989276e-05
224,211,2.3227416102477987e-05
225,239,2.3192793930313095e-05
226,78,1.952387968775214e-05
227,200,1.0149459487158954e-05
228,125,9.527292108672322e-06
229,209,6.0618905582038836e-06
230,16,1.4744942163220896e-06
231,203,1.3594014555942603e-06
232,25,4.904025573200128e-07
233,23,5.545392335169375e-08
234,40,0.0
235,110,0.0
236,176,0.0
237,181,0.0
238,81,0.0
239,190,0.0
240,182,0.0
241,184,0.0
242,192,0.0
243,104,0.0
244,244,0.0
